Date,Time,CH01,CH02,CH03,CH04,CH05,CH06
4/9/2026,18:20:51,0,0,0,0,0,1
4/9/2026,18:20:56,0,0,0,0,0,1
4/9/2026,18:21:01,0,0,0,0,0,1
4/9/2026,18:21:06,0,0,0,0,0,1
4/9/2026,18:21:08,0,0,0,0,0,0
4/9/2026,18:21:11,0,0,0,0,0,1
4/9/2026,18:21:16,0,0,0,0,0,1
4/9/2026,18:21:21,0,0,0,0,0,1
4/9/2026,18:21:26,0,0,0,0,0,1
4/9/2026,18:21:31,0,0,0,0,0,1
4/9/2026,18:21:36,0,0,0,0,0,1
4/9/2026,18:21:41,0,0,0,0,0,1
4/9/2026,18:21:46,0,0,0,0,0,1
4/9/2026,18:21:51,0,0,0,0,0,1
4/9/2026,18:21:56,0,0,0,0,0,1
4/9/2026,18:22:01,0,0,0,0,0,1
4/9/2026,18:22:06,0,0,0,0,0,1
4/9/2026,18:22:08,0,0,0,0,0,0
4/9/2026,18:22:11,0,0,0,0,0,1
4/9/2026,18:22:16,0,0,0,0,0,1
4/9/2026,18:22:21,0,0,0,0,0,1
4/9/2026,18:22:26,0,0,0,0,0,1
4/9/2026,18:22:31,0,0,0,0,0,1
4/9/2026,18:22:36,0,0,0,0,0,1
4/9/2026,18:22:41,0,0,0,0,0,1
4/9/2026,18:22:47,0,0,0,0,0,1
4/9/2026,18:22:52,0,0,0,0,0,1
4/9/2026,18:22:57,0,0,0,0,0,1
4/9/2026,18:23:02,0,0,0,0,0,1
4/9/2026,18:23:07,0,0,0,0,0,1
4/9/2026,18:23:08,0,0,0,0,0,0
4/9/2026,18:23:12,0,0,0,0,0,1
4/9/2026,18:23:17,0,0,0,0,0,1
4/9/2026,18:23:22,0,0,0,0,0,1
4/9/2026,18:23:27,0,0,0,0,0,1
4/9/2026,18:23:32,0,0,0,0,0,1
4/9/2026,18:23:37,0,0,0,0,0,1
4/9/2026,18:23:42,0,0,0,0,0,1
4/9/2026,18:23:47,0,0,0,0,0,1
4/9/2026,18:23:52,0,0,0,0,0,1
4/9/2026,18:23:57,0,0,0,0,0,1
4/9/2026,18:24:02,0,0,0,0,0,1
4/9/2026,18:24:07,0,0,0,0,0,1
4/9/2026,18:24:08,0,0,0,0,0,0
4/9/2026,18:24:12,0,0,0,0,0,1
4/9/2026,18:24:17,0,0,0,0,0,1
4/9/2026,18:24:22,0,0,0,0,0,1
4/9/2026,18:24:27,0,0,0,0,0,1
4/9/2026,18:24:32,0,0,0,0,0,1
4/9/2026,18:24:37,0,0,0,0,0,1
4/9/2026,18:24:42,0,0,0,0,0,1
4/9/2026,18:24:47,0,0,0,0,0,1
4/9/2026,18:24:52,0,0,0,0,0,1
4/9/2026,18:24:57,0,0,0,0,0,1
4/9/2026,18:25:02,0,0,0,0,0,1
4/9/2026,18:25:07,0,0,0,0,0,1
4/9/2026,18:25:08,0,0,0,0,0,0
4/9/2026,18:25:12,0,0,0,0,0,1
4/9/2026,18:25:17,0,0,0,0,0,1
4/9/2026,18:25:22,0,0,0,0,0,1
4/9/2026,18:25:27,0,0,0,0,0,1
4/9/2026,18:25:32,0,0,0,0,0,1
4/9/2026,18:25:37,0,0,0,0,0,1
4/9/2026,18:25:42,0,0,0,0,0,1
4/9/2026,18:25:47,0,0,0,0,0,1
4/9/2026,18:25:52,0,0,0,0,0,1
4/9/2026,18:25:57,0,0,0,0,0,1
4/9/2026,18:26:02,0,0,0,0,0,1
4/9/2026,18:26:07,0,0,0,0,0,1
4/9/2026,18:26:08,0,0,0,0,0,0
4/9/2026,18:26:12,0,0,0,0,0,1
4/9/2026,18:26:17,0,0,0,0,0,1
4/9/2026,18:26:22,0,0,0,0,0,1
4/9/2026,18:26:27,0,0,0,0,0,1
4/9/2026,18:26:32,0,0,0,0,0,1
4/9/2026,18:26:37,0,0,0,0,0,1
4/9/2026,18:26:42,0,0,0,0,0,1
4/9/2026,18:26:47,0,0,0,0,0,1
4/9/2026,18:26:52,0,0,0,0,0,1
4/9/2026,18:26:57,0,0,0,0,0,1
4/9/2026,18:27:02,0,0,0,0,0,1
4/9/2026,18:27:07,0,0,0,0,0,1
4/9/2026,18:27:08,0,0,0,0,0,0
4/9/2026,18:27:12,0,0,0,0,0,1
4/9/2026,18:27:17,0,0,0,0,0,1
4/9/2026,18:27:22,0,0,0,0,0,1
4/9/2026,18:27:27,0,0,0,0,0,1
4/9/2026,18:27:32,0,0,0,0,0,1
4/9/2026,18:27:37,0,0,0,0,0,1
4/9/2026,18:27:42,0,0,0,0,0,1
4/9/2026,18:27:47,0,0,0,0,0,1
4/9/2026,18:27:52,0,0,0,0,0,1
4/9/2026,18:27:57,0,0,0,0,0,1
4/9/2026,18:28:02,0,0,0,0,0,1
4/9/2026,18:28:07,0,0,0,0,0,1
4/9/2026,18:28:08,0,0,0,0,0,0
4/9/2026,18:28:12,0,0,0,0,0,1
4/9/2026,18:28:17,0,0,0,0,0,1
4/9/2026,18:28:22,0,0,0,0,0,1
4/9/2026,18:28:27,0,0,0,0,0,1
4/9/2026,18:28:32,0,0,0,0,0,1
4/9/2026,18:28:37,0,0,0,0,0,1
4/9/2026,18:28:42,0,0,0,0,0,1
4/9/2026,18:28:47,0,0,0,0,0,1
4/9/2026,18:28:52,0,0,0,0,0,1
4/9/2026,18:28:57,0,0,0,0,0,1
4/9/2026,18:29:02,0,0,0,0,0,1
4/9/2026,18:29:07,0,0,0,0,0,1
4/9/2026,18:29:08,0,0,0,0,0,0
4/9/2026,18:29:12,0,0,0,0,0,1
4/9/2026,18:29:17,0,0,0,0,0,1
4/9/2026,18:29:22,0,0,0,0,0,1
4/9/2026,18:29:27,0,0,0,0,0,1
4/9/2026,18:29:32,0,0,0,0,0,1
4/9/2026,18:29:37,0,0,0,0,0,1
4/9/2026,18:29:42,0,0,0,0,0,1
4/9/2026,18:29:47,0,0,0,0,0,1
4/9/2026,18:29:52,0,0,0,0,0,1
4/9/2026,18:29:57,0,0,0,0,0,1
4/9/2026,18:30:02,0,0,0,0,0,1
4/9/2026,18:30:07,0,0,0,0,0,1
4/9/2026,18:30:08,0,0,0,0,0,0
4/9/2026,18:30:12,0,0,0,0,0,1
4/9/2026,18:30:17,0,0,0,0,0,1
4/9/2026,18:30:22,0,0,0,0,0,1
4/9/2026,18:30:27,0,0,0,0,0,1
4/9/2026,18:30:32,0,0,0,0,0,1
4/9/2026,18:30:37,0,0,0,0,0,1
4/9/2026,18:30:42,0,0,0,0,0,1
4/9/2026,18:30:47,0,0,0,0,0,1
4/9/2026,18:30:52,0,0,0,0,0,1
4/9/2026,18:30:57,0,0,0,0,0,1
4/9/2026,18:31:02,0,0,0,0,0,1
4/9/2026,18:31:07,0,0,0,0,0,1
4/9/2026,18:31:08,0,0,0,0,0,0
4/9/2026,18:31:12,0,0,0,0,0,1
4/9/2026,18:31:17,0,0,0,0,0,1
4/9/2026,18:31:22,0,0,0,0,0,1
4/9/2026,18:31:27,0,0,0,0,0,1
4/9/2026,18:31:32,0,0,0,0,0,1
4/9/2026,18:31:37,0,0,0,0,0,1
4/9/2026,18:31:42,0,0,0,0,0,1
4/9/2026,18:31:47,0,0,0,0,0,1
4/9/2026,18:31:52,0,0,0,0,0,1
4/9/2026,18:31:57,0,0,0,0,0,1
4/9/2026,18:32:02,0,0,0,0,0,1
4/9/2026,18:32:07,0,0,0,0,0,1
4/9/2026,18:32:08,0,0,0,0,0,0
4/9/2026,18:32:12,0,0,0,0,0,1
4/9/2026,18:32:17,0,0,0,0,0,1
4/9/2026,18:32:22,0,0,0,0,0,1
4/9/2026,18:32:27,0,0,0,0,0,1
